best_program,fitness,raw_fitness,program_length,seed
"mul(mul(X0, 0.253), sub(X1, mul(mul(mul(add(0.159, X0), sub(X1, mul(mul(mul(mul(mul(X0, 0.253), sub(X1, mul(mul(mul(add(0.159, X0), X1), 0.228), X1))), X1), 0.228), X1))), 0.228), X1)))",0.004467350502703502,0.0007673505027035017,37,29
"mul(mul(-0.239, X1), sub(mul(mul(X0, mul(X0, 0.193)), X1), X0))",0.002045815101741237,0.0007458151017412367,13,17
"mul(mul(sub(0.161, -0.173), mul(X0, -0.728)), sub(mul(X1, mul(X1, mul(0.220, X0))), X1))",0.0021338552806955116,0.00043385528069551146,17,86
"mul(mul(sub(X0, mul(0.256, mul(X0, mul(sub(X0, mul(0.256, mul(X0, mul(0.256, mul(X0, mul(X0, mul(X0, X1))))))), X1)))), X1), 0.249)",0.0032127664903323742,0.0005127664903323743,27,14
"mul(sub(X0, mul(X0, mul(sub(X0, mul(mul(mul(X0, mul(mul(X1, X0), 0.237)), 0.237), X0)), mul(X1, 0.246)))), mul(X1, 0.246))",0.0028669353407619327,0.00036693534076193243,25,12
"mul(mul(0.243, X0), sub(X1, mul(X0, mul(sub(X1, mul(mul(0.243, X0), mul(X1, mul(0.214, X1)))), mul(0.214, X1)))))",0.0027568219962924223,0.0004568219962924221,23,50
"mul(0.243, mul(sub(X1, mul(mul(mul(X1, 0.214), X0), X1)), X0))",0.0017156340584423744,0.0004156340584423742,13,80
"add(mul(mul(0.224, X1), X0), mul(mul(add(-0.390, mul(X0, X1)), -0.260), add(mul(X0, mul(0.224, X1)), mul(mul(add(-0.390, mul(X0, X1)), X1), mul(-0.260, mul(mul(0.224, X1), X0))))))",0.003920058817374045,0.00042005881737404514,35,18
"mul(sub(mul(X1, mul(mul(0.226, X0), X1)), X1), mul(X0, -0.245))",0.0016879280863736962,0.000387928086373696,13,60
"mul(mul(X1, mul(-0.292, X0)), add(sub(-0.792, 0.060), mul(mul(X1, mul(-0.292, X0)), add(sub(-0.792, 0.060), mul(mul(0.211, X0), X1)))))",0.00276522433163836,0.00026522433163835994,25,79
"mul(mul(0.244, X1), sub(X0, mul(mul(X0, mul(X0, X1)), 0.218)))",0.0017011182457373243,0.00040111824573732427,13,100
"mul(mul(X1, 0.242), sub(X0, mul(mul(X0, mul(X1, 0.210)), X0)))",0.0017907510650784103,0.0004907510650784101,13,43
"mul(sub(X0, mul(X0, mul(sub(X0, mul(X0, mul(0.211, sub(X0, mul(X0, mul(0.211, mul(X0, X1))))))), mul(X1, 0.242)))), mul(X1, 0.242))",0.0031305179606828442,0.0004305179606828441,27,6
"mul(sub(X0, mul(sub(X0, mul(X0, mul(mul(0.238, X1), mul(X0, mul(mul(0.238, X1), X0))))), mul(mul(0.238, X1), X0))), mul(X1, 0.246))",0.0030489408889705465,0.00034894088897054654,27,69
"mul(mul(X1, 0.246), sub(X0, mul(mul(sub(X0, mul(mul(X0, 0.231), mul(mul(X0, 0.231), mul(X0, X1)))), 0.237), mul(X0, X1))))",0.0028422672486512965,0.00034226724865129643,25,45
"mul(mul(X0, -0.247), sub(mul(0.238, mul(X1, mul(X1, X0))), X1))",0.0017436912297391007,0.0004436912297391005,13,70
"mul(mul(X0, add(0.248, mul(mul(0.272, X1), mul(X0, -0.229)))), X1)",0.0018444145083646706,0.0005444145083646704,13,76
"mul(mul(X0, 0.243), sub(X1, mul(mul(X1, mul(X0, 0.211)), X1)))",0.0017369733637463353,0.0004369733637463351,13,31
"div(mul(0.229, mul(X1, X0)), add(mul(mul(X0, 0.232), X1), 0.939))",0.001757267250208304,0.0004572672502083038,13,88
"mul(0.234, mul(X0, sub(X1, mul(mul(0.223, X1), mul(X0, sub(X1, 0.224))))))",0.002151967232564978,0.0006519672325649782,15,42
"mul(mul(0.242, X1), add(X0, mul(-0.091, mul(div(add(X0, mul(-0.091, mul(div(mul(-0.091, mul(div(X0, 0.449), mul(X1, X0))), 0.449), mul(X1, X0)))), 0.449), mul(X1, X0)))))",0.00378917734767017,0.0004891773476701698,33,5
"mul(mul(0.246, X1), sub(X0, mul(mul(mul(0.242, sub(X0, mul(mul(mul(0.242, X0), mul(0.242, X0)), X0))), X1), X0)))",0.0026468805420240002,0.0003468805420240003,23,13
"mul(0.248, div(mul(X1, X0), add(mul(X1, mul(0.279, X0)), div(X0, X0))))",0.0018580608234808518,0.00035806082348085176,15,22
"mul(mul(sub(mul(mul(X0, X1), 0.195), div(-0.625, -0.621)), -0.239), mul(X0, X1))",0.002072634500734615,0.0005726345007346149,15,46
"mul(div(mul(-0.163, X1), sub(-0.664, mul(mul(0.166, X1), X0))), X0)",0.0017571038337915066,0.0004571038337915064,13,37
"mul(mul(-0.229, X0), sub(mul(mul(0.233, X1), add(mul(X1, X0), -0.261)), X1))",0.0019316906473171567,0.00043169064731715667,15,82
"div(mul(X1, div(X0, 0.969)), add(mul(div(div(X1, 0.969), 0.969), X0), div(0.814, 0.192)))",0.0021587234049797125,0.00045872340497971233,17,21
"mul(mul(div(mul(X1, 0.219), sub(mul(X0, mul(X1, 0.231)), -0.854)), X0), 0.959)",0.0018119997673043569,0.00031199976730435686,15,87
"mul(add(mul(mul(0.227, X1), mul(X0, X0)), div(X0, -0.897)), mul(-0.217, X1))",0.0019906842824958205,0.0004906842824958205,15,28
"mul(mul(mul(X0, X1), 0.244), sub(div(X0, X0), mul(X1, mul(X0, 0.219))))",0.0019036510786946906,0.0004036510786946905,15,38
